N,Sq Length,input clx,GRms,GErrorRms,G clx,G Error clx,G clx,G Error clx,G Area,Gerror Area,input cly,Rms,Error Rms,clx,Error clx,cly,Error cly,Area,Error Area,Skewness,Error Sk,Kurtosis,Error Ku
600,8,0.33174,1,0,1,0,1,0,1,0,0.098096,0.041359,0,0.10347,0,0.35393,0,78.189,0,0.70737,0,8.7182,0
600,8,0.091783,1,0,1,0,1,0,1,0,0.30982,0.014668,0,0.33081,0,0.099022,0,66.335,0,-0.089379,0,4.9021,0
600,8,0.14066,1,0,1,0,1,0,1,0,0.21596,0.021148,0,0.22598,0,0.15412,0,67.099,0,-0.34929,0,6.2773,0
600,8,0.10257,1,0,1,0,1,0,1,0,0.18733,0.027952,0,0.17969,0,0.10351,0,72.074,0,1.8458,0,8.7589,0
600,8,0.18557,1,0,1,0,1,0,1,0,0.23423,0.048124,0,0.23348,0,0.1976,0,74.316,0,0.54573,0,2.8539,0
600,8,0.2586,1,0,1,0,1,0,1,0,0.23815,0.012638,0,0.26763,0,0.28633,0,64.548,0,0.21771,0,2.4686,0
600,8,0.30287,1,0,1,0,1,0,1,0,0.16764,0.0065863,0,0.15641,0,0.27405,0,64.258,0,1.3423,0,4.3529,0
600,8,0.079356,1,0,1,0,1,0,1,0,0.29119,0.012487,0,0.28084,0,0.082789,0,66.267,0,0.7142,0,2.5391,0
600,8,0.35693,1,0,1,0,1,0,1,0,0.14104,0.03487,0,0.14486,0,0.36161,0,70.757,0,-0.28521,0,2.4088,0
600,8,0.078383,1,0,1,0,1,0,1,0,0.061121,0.014887,0,0.060737,0,0.076689,0,71.159,0,0.58238,0,1.9091,0
600,8,0.16503,1,0,1,0,1,0,1,0,0.1139,0.017563,0,0.12611,0,0.17978,0,67.125,0,0.78057,0,4.8703,0
600,8,0.28092,1,0,1,0,1,0,1,0,0.10128,0.031399,0,0.10143,0,0.26754,0,73.174,0,-0.50804,0,3.9386,0
600,8,0.19904,1,0,1,0,1,0,1,0,0.33593,0.0049082,0,0.34339,0,0.20047,0,64.094,0,-0.25784,0,2.2474,0
600,8,0.10683,1,0,1,0,1,0,1,0,0.171,0.0095488,0,0.1817,0,0.11168,0,65.027,0,-1.0637,0,6.0631,0
600,8,0.33628,1,0,1,0,1,0,1,0,0.081901,0.0082697,0,0.08634,0,0.3411,0,64.911,0,0.82857,0,4.9393,0
600,8,0.29611,1,0,1,0,1,0,1,0,0.096321,0.016566,0,0.10641,0,0.31583,0,66.722,0,0.88642,0,4.7514,0
600,8,0.21618,1,0,1,0,1,0,1,0,0.26441,0.0058291,0,0.27045,0,0.22884,0,64.139,0,-1.6014,0,5.5186,0
600,8,0.17108,1,0,1,0,1,0,1,0,0.35681,0.044708,0,0.35822,0,0.17513,0,72.092,0,-0.81162,0,2.8047,0
600,8,0.17891,1,0,1,0,1,0,1,0,0.32368,0.0081738,0,0.2788,0,0.1694,0,64.423,0,2.2631,0,7.2562,0
600,8,0.21974,1,0,1,0,1,0,1,0,0.23498,0.046431,0,0.21188,0,0.18234,0,74.053,0,-2.3913,0,8.6235,0
600,8,0.23341,1,0,1,0,1,0,1,0,0.27236,0.021691,0,0.27617,0,0.26019,0,65.618,0,1.1094,0,7.8494,0
600,8,0.33494,1,0,1,0,1,0,1,0,0.29461,0.047474,0,0.30306,0,0.31226,0,69.335,0,0.66137,0,6.4432,0
600,8,0.072585,1,0,1,0,1,0,1,0,0.13312,0.041028,0,0.12958,0,0.07327,0,88.899,0,1.414,0,5.7234,0
600,8,0.098656,1,0,1,0,1,0,1,0,0.35322,0.0043031,0,0.35782,0,0.094031,0,64.217,0,-0.52591,0,8.0482,0
600,8,0.24585,1,0,1,0,1,0,1,0,0.29487,0.011363,0,0.32082,0,0.28497,0,64.394,0,0.38794,0,4.1328,0
600,8,0.09135,1,0,1,0,1,0,1,0,0.11556,0.03812,0,0.11081,0,0.09203,0,84.63,0,-1.2093,0,3.2331,0
600,8,0.26066,1,0,1,0,1,0,1,0,0.35509,0.011302,0,0.3563,0,0.27052,0,64.355,0,-1.2148,0,4.4392,0
600,8,0.27831,1,0,1,0,1,0,1,0,0.070083,0.033155,0,0.068883,0,0.27008,0,79.501,0,1.1838,0,4.018,0
600,8,0.06383,1,0,1,0,1,0,1,0,0.13095,0.013307,0,0.13183,0,0.067195,0,67.937,0,0.89306,0,6.6248,0
600,8,0.070419,1,0,1,0,1,0,1,0,0.13543,0.044269,0,0.13029,0,0.068499,0,92.414,0,-1.7498,0,8.235,0
600,8,0.09814,1,0,1,0,1,0,1,0,0.17232,0.04885,0,0.16375,0,0.10093,0,88.225,0,0.62593,0,2.0095,0
600,8,0.13607,1,0,1,0,1,0,1,0,0.12976,0.030767,0,0.12761,0,0.14415,0,73.079,0,-1.7583,0,7.7986,0
600,8,0.30617,1,0,1,0,1,0,1,0,0.21737,0.010402,0,0.20466,0,0.30627,0,64.452,0,0.65088,0,8.6592,0
600,8,0.24534,1,0,1,0,1,0,1,0,0.13843,0.013804,0,0.15518,0,0.24615,0,65.266,0,-0.39045,0,5.2635,0
600,8,0.12715,1,0,1,0,1,0,1,0,0.31059,0.031375,0,0.32663,0,0.13352,0,70.193,0,-1.3596,0,7.7007,0
600,8,0.12725,1,0,1,0,1,0,1,0,0.19396,0.01352,0,0.20019,0,0.12985,0,65.614,0,1.0114,0,8.6187,0
600,8,0.23221,1,0,1,0,1,0,1,0,0.098064,0.020804,0,0.10559,0,0.2515,0,68.424,0,0.25302,0,3.3752,0
600,8,0.12452,1,0,1,0,1,0,1,0,0.2418,0.033952,0,0.24719,0,0.13385,0,72.066,0,-0.37274,0,5.792,0
600,8,0.11114,1,0,1,0,1,0,1,0,0.28797,0.0080876,0,0.3058,0,0.10563,0,64.649,0,0.79322,0,7.3478,0
600,8,0.32909,1,0,1,0,1,0,1,0,0.16646,0.03627,0,0.15545,0,0.34072,0,70.337,0,0.52693,0,6.2176,0
600,8,0.17687,1,0,1,0,1,0,1,0,0.14651,0.025875,0,0.13415,0,0.16304,0,70.362,0,-1.4396,0,3.8045,0
600,8,0.17048,1,0,1,0,1,0,1,0,0.19192,0.027939,0,0.20227,0,0.17985,0,68.709,0,0.63813,0,7.0108,0
600,8,0.28916,1,0,1,0,1,0,1,0,0.26456,0.0339,0,0.23983,0,0.27694,0,68.372,0,2.0669,0,6.192,0
600,8,0.29041,1,0,1,0,1,0,1,0,0.30184,0.0082355,0,0.31774,0,0.28199,0,64.204,0,0.73395,0,7.7466,0
600,8,0.31455,1,0,1,0,1,0,1,0,0.35331,0.0070564,0,0.32832,0,0.30319,0,64.13,0,-0.12158,0,1.6036,0
600,8,0.13963,1,0,1,0,1,0,1,0,0.27983,0.043904,0,0.28603,0,0.14487,0,74.699,0,-0.77537,0,3.3371,0
600,8,0.15713,1,0,1,0,1,0,1,0,0.092187,0.029607,0,0.091837,0,0.16327,0,74.933,0,-1.4151,0,5.8247,0
600,8,0.31995,1,0,1,0,1,0,1,0,0.2641,0.029161,0,0.28363,0,0.3619,0,66.391,0,0.4125,0,7.9509,0
600,8,0.23656,1,0,1,0,1,0,1,0,0.33574,0.016779,0,0.34241,0,0.22064,0,65,0,-1.3817,0,5.7159,0
600,8,0.17527,1,0,1,0,1,0,1,0,0.21515,0.017152,0,0.22495,0,0.17807,0,65.728,0,0.33474,0,4.2584,0
600,8,0.35935,1,0,1,0,1,0,1,0,0.23472,0.018183,0,0.26597,0,0.36834,0,64.958,0,-0.88676,0,5.4662,0
600,8,0.061335,1,0,1,0,1,0,1,0,0.24747,0.041913,0,0.26409,0,0.066578,0,89.271,0,0.18117,0,4.5905,0
600,8,0.18644,1,0,1,0,1,0,1,0,0.35991,0.040534,0,0.35447,0,0.17796,0,70.26,0,-0.3413,0,7.8476,0
600,8,0.21377,1,0,1,0,1,0,1,0,0.16439,0.039013,0,0.15779,0,0.20531,0,72.713,0,-1.6016,0,8.1765,0
600,8,0.20614,1,0,1,0,1,0,1,0,0.15879,0.019713,0,0.15846,0,0.22773,0,66.488,0,1.2768,0,6.7661,0
600,8,0.13761,1,0,1,0,1,0,1,0,0.081407,0.0055974,0,0.080871,0,0.13737,0,64.587,0,-0.64913,0,7.7594,0
600,8,0.15177,1,0,1,0,1,0,1,0,0.35852,0.0045209,0,0.35439,0,0.15556,0,64.121,0,1.0007,0,2.9366,0
600,8,0.097686,1,0,1,0,1,0,1,0,0.26419,0.015561,0,0.26465,0,0.10085,0,66.59,0,-0.91427,0,3.8335,0
600,8,0.16788,1,0,1,0,1,0,1,0,0.22786,0.013791,0,0.2453,0,0.18605,0,65.033,0,0.50208,0,4.8875,0
600,8,0.087501,1,0,1,0,1,0,1,0,0.2551,0.033213,0,0.25148,0,0.091967,0,75.704,0,0.1443,0,7.9214,0
600,8,0.21893,1,0,1,0,1,0,1,0,0.14527,0.048442,0,0.13563,0,0.19569,0,78.911,0,1.7113,0,5.3291,0
600,8,0.066266,1,0,1,0,1,0,1,0,0.33552,0.013421,0,0.36185,0,0.072303,0,66.988,0,0.76055,0,3.1101,0
600,8,0.28893,1,0,1,0,1,0,1,0,0.31286,0.020478,0,0.31818,0,0.29628,0,65.135,0,-0.94909,0,7.1316,0
600,8,0.075966,1,0,1,0,1,0,1,0,0.32189,0.010972,0,0.3163,0,0.078674,0,65.827,0,0.39626,0,7.8318,0
600,8,0.22275,1,0,1,0,1,0,1,0,0.11003,0.020813,0,0.11895,0,0.23597,0,67.811,0,0.81325,0,4.5155,0
600,8,0.15623,1,0,1,0,1,0,1,0,0.14046,0.0067914,0,0.12521,0,0.14344,0,64.598,0,-1.4563,0,3.8096,0
600,8,0.27504,1,0,1,0,1,0,1,0,0.069981,0.048861,0,0.077851,0,0.27006,0,90.313,0,1.2043,0,8.5342,0
600,8,0.21492,1,0,1,0,1,0,1,0,0.10679,0.047886,0,0.10901,0,0.2138,0,82.566,0,1.1501,0,4.1135,0
600,8,0.28648,1,0,1,0,1,0,1,0,0.34882,0.011732,0,0.35505,0,0.32351,0,64.31,0,-0.24097,0,2.2908,0
600,8,0.14052,1,0,1,0,1,0,1,0,0.20743,0.0088913,0,0.21939,0,0.13595,0,64.635,0,1.2681,0,6.1729,0
600,8,0.20013,1,0,1,0,1,0,1,0,0.084894,0.013442,0,0.088204,0,0.20512,0,66.574,0,-0.086096,0,7.4537,0
600,8,0.3008,1,0,1,0,1,0,1,0,0.23991,0.038033,0,0.23734,0,0.25809,0,69.135,0,-0.19769,0,8.1402,0
600,8,0.19772,1,0,1,0,1,0,1,0,0.23122,0.020998,0,0.22579,0,0.20577,0,66.232,0,-1.4036,0,5.0727,0
600,8,0.16977,1,0,1,0,1,0,1,0,0.24282,0.007075,0,0.2734,0,0.17814,0,64.276,0,0.47066,0,4.0716,0
600,8,0.21706,1,0,1,0,1,0,1,0,0.074573,0.012026,0,0.080565,0,0.22209,0,66.274,0,0.57524,0,6.9767,0
600,8,0.35361,1,0,1,0,1,0,1,0,0.12305,0.036307,0,0.1276,0,0.35964,0,72.114,0,-0.61994,0,3.1691,0
600,8,0.14039,1,0,1,0,1,0,1,0,0.30234,0.0084962,0,0.29356,0,0.1397,0,64.512,0,1.6961,0,5.6217,0
600,8,0.13819,1,0,1,0,1,0,1,0,0.2621,0.01087,0,0.24564,0,0.12493,0,65.228,0,0.84867,0,2.0641,0
